process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.result,verification.time
0,0,2,1,59,1,0,False,163.31666666666666
0,0,2,1,59,2,0,False,200.86
0,0,2,1,59,4,0,False,154.88888888888889
0,0,2,1,59,6,0,False,108.64
0,0,2,1,60,1,0,True,85.46666666666667
0,0,2,1,60,1,3,True,82.0
0,0,2,1,60,1,4,False,154.25
0,0,2,1,60,2,0,True,80.95
0,0,2,1,60,2,3,True,78.0
0,0,2,1,60,2,4,False,197.01
0,0,2,1,60,4,0,True,80.25
0,0,2,1,60,4,3,True,77.91666666666667
0,0,2,1,60,4,4,False,144.69444444444446
0,0,2,1,60,6,0,True,88.12
0,0,2,1,60,6,3,True,78.84
0,0,2,1,60,6,4,True,78.15
0,0,2,1,69,3,0,False,112.05
0,0,2,1,69,5,0,False,322.05555555555554
0,0,2,1,70,3,0,True,87.1
0,0,2,1,70,3,3,True,97.11
0,0,2,1,70,3,4,True,80.86
0,0,2,1,70,5,0,True,194.4388888888889
0,0,2,1,70,5,3,False,378.8222222222222
0,0,2,1,70,5,4,True,207.7722222222222
0,1,1,1,59,1,0,False,646.675
0,1,1,1,59,4,0,False,564.6346153846154
0,1,1,1,59,6,0,False,248.21666666666667
0,1,1,1,60,1,0,False,578.625
0,1,1,1,60,4,0,False,523.9615384615385
0,1,1,1,60,6,0,True,90.0
0,1,1,1,60,6,2,True,94.58333333333333
0,1,1,1,60,6,3,False,243.51666666666668
0,1,1,1,60,6,4,False,225.05
0,1,1,1,61,1,0,False,608.2
0,1,1,1,61,4,0,False,546.3461538461538
0,1,1,1,62,1,0,False,596.475
0,1,1,1,62,4,0,False,554.1153846153846
0,1,1,1,63,1,0,False,603.65
0,1,1,1,63,4,0,False,553.7692307692307
0,1,1,1,64,1,0,False,532.8
0,1,1,1,64,4,0,False,483.46153846153845
0,1,1,1,65,1,0,False,567.975
0,1,1,1,65,4,0,False,505.96153846153845
0,1,1,1,66,1,0,False,564.3
0,1,1,1,66,4,0,False,496.1730769230769
0,1,1,1,67,1,0,False,588.9
0,1,1,1,67,4,0,False,522.6346153846154
0,1,1,1,68,1,0,False,537.075
0,1,1,1,68,4,0,False,481.65384615384613
0,1,1,1,69,1,0,False,544.05
0,1,1,1,69,3,0,False,178.4
0,1,1,1,69,4,0,False,512.3461538461538
0,1,1,1,69,5,0,False,751.1875
0,1,1,1,70,1,0,True,518.2
0,1,1,1,70,1,2,True,547.725
0,1,1,1,70,1,3,False,602.125
0,1,1,1,70,1,4,False,588.2
0,1,1,1,70,3,0,True,153.51666666666668
0,1,1,1,70,3,2,True,151.13333333333333
0,1,1,1,70,3,3,False,165.41666666666666
0,1,1,1,70,3,4,False,176.71666666666667
0,1,1,1,70,4,0,True,418.0576923076923
0,1,1,1,70,4,2,True,451.15384615384613
0,1,1,1,70,4,3,False,529.0769230769231
0,1,1,1,70,4,4,False,518.3653846153846
0,1,1,1,70,5,0,False,739.475
0,1,1,1,71,5,0,False,751.9875
0,1,1,1,72,5,0,False,740.4125
0,1,1,1,73,5,0,False,719.45
0,1,1,1,74,5,0,False,745.5375
0,1,1,1,75,5,0,False,734.5625
0,1,1,1,76,5,0,False,752.3
0,1,1,1,77,5,0,False,725.55
